# Year  Mon  Day  JD           Ayanamsa
1900   6   4   2415174.5    22.4661
1900   6   5   2415175.5    22.4661
1900   6   6   2415176.5    22.4661
1900   6   7   2415177.5    22.4662
1900   6   8   2415178.5    22.4662
1900   6   9   2415179.5    22.4662
1900   6  10   2415180.5    22.4663
1900   6  11   2415181.5    22.4663
1900   6  12   2415182.5    22.4664
1900   6  13   2415183.5    22.4664
1900   6  14   2415184.5    22.4664
1900   6  15   2415185.5    22.4665
1900   6  16   2415186.5    22.4665
1900   6  17   2415187.5    22.4666
1900   6  18   2415188.5    22.4666
1900   6  19   2415189.5    22.4666
1900   6  20   2415190.5    22.4667
1900   6  21   2415191.5    22.4667
1900   6  22   2415192.5    22.4667
1900   6  23   2415193.5    22.4668
1900   6  24   2415194.5    22.4668
1900   6  25   2415195.5    22.4669
1900   6  26   2415196.5    22.4669
1900   6  27   2415197.5    22.4669
1900   6  28   2415198.5    22.4670
1900   6  29   2415199.5    22.4670
1900   6  30   2415200.5    22.4670
1900   7   1   2415201.5    22.4671
1900   7   2   2415202.5    22.4671
1900   7   3   2415203.5    22.4672
1900   7   4   2415204.5    22.4672
1900   7   5   2415205.5    22.4672
1900   7   6   2415206.5    22.4673
1900   7   7   2415207.5    22.4673
1900   7   8   2415208.5    22.4674
1900   7   9   2415209.5    22.4674
1900   7  10   2415210.5    22.4674
1900   7  11   2415211.5    22.4675
1900   7  12   2415212.5    22.4675
1900   7  13   2415213.5    22.4675
1900   7  14   2415214.5    22.4676
1900   7  15   2415215.5    22.4676
1900   7  16   2415216.5    22.4677
1900   7  17   2415217.5    22.4677
1900   7  18   2415218.5    22.4677
1900   7  19   2415219.5    22.4678
1900   7  20   2415220.5    22.4678
1900   7  21   2415221.5    22.4678
1900   7  22   2415222.5    22.4679
1900   7  23   2415223.5    22.4679
1900   7  24   2415224.5    22.4680
1900   7  25   2415225.5    22.4680
1900   7  26   2415226.5    22.4680
1900   7  27   2415227.5    22.4681
1900   7  28   2415228.5    22.4681
1900   7  29   2415229.5    22.4682
1900   7  30   2415230.5    22.4682
1900   7  31   2415231.5    22.4682
1900   8   1   2415232.5    22.4683
1900   8   2   2415233.5    22.4683
1900   8   3   2415234.5    22.4683
1900   8   4   2415235.5    22.4684
1900   8   5   2415236.5    22.4684
1900   8   6   2415237.5    22.4685
1900   8   7   2415238.5    22.4685
1900   8   8   2415239.5    22.4685
1900   8   9   2415240.5    22.4686
1900   8  10   2415241.5    22.4686
1900   8  11   2415242.5    22.4687
1900   8  12   2415243.5    22.4687
1900   8  13   2415244.5    22.4687
1900   8  14   2415245.5    22.4688
1900   8  15   2415246.5    22.4688
1900   8  16   2415247.5    22.4688
1900   8  17   2415248.5    22.4689
1900   8  18   2415249.5    22.4689
1900   8  19   2415250.5    22.4690
1900   8  20   2415251.5    22.4690
1900   8  21   2415252.5    22.4690
1900   8  22   2415253.5    22.4691
1900   8  23   2415254.5    22.4691
1900   8  24   2415255.5    22.4691
1900   8  25   2415256.5    22.4692
1900   8  26   2415257.5    22.4692
1900   8  27   2415258.5    22.4693
1900   8  28   2415259.5    22.4693
1900   8  29   2415260.5    22.4693
1900   8  30   2415261.5    22.4694
1900   8  31   2415262.5    22.4694
1900   9   1   2415263.5    22.4695
1900   9   2   2415264.5    22.4695
1900   9   3   2415265.5    22.4695
1900   9   4   2415266.5    22.4696
1900   9   5   2415267.5    22.4696
1900   9   6   2415268.5    22.4696
1900   9   7   2415269.5    22.4697
1900   9   8   2415270.5    22.4697
1900   9   9   2415271.5    22.4698
1900   9  10   2415272.5    22.4698
1900   9  11   2415273.5    22.4698
1900   9  12   2415274.5    22.4699
1900   9  13   2415275.5    22.4699
1900   9  14   2415276.5    22.4700
1900   9  15   2415277.5    22.4700
1900   9  16   2415278.5    22.4700
1900   9  17   2415279.5    22.4701
1900   9  18   2415280.5    22.4701
1900   9  19   2415281.5    22.4701
1900   9  20   2415282.5    22.4702
1900   9  21   2415283.5    22.4702
1900   9  22   2415284.5    22.4703
1900   9  23   2415285.5    22.4703
1900   9  24   2415286.5    22.4703
1900   9  25   2415287.5    22.4704
1900   9  26   2415288.5    22.4704
1900   9  27   2415289.5    22.4704
1900   9  28   2415290.5    22.4705
1900   9  29   2415291.5    22.4705
1900   9  30   2415292.5    22.4706
1900  10   1   2415293.5    22.4706
1900  10   2   2415294.5    22.4706
1900  10   3   2415295.5    22.4707
1900  10   4   2415296.5    22.4707
1900  10   5   2415297.5    22.4708
1900  10   6   2415298.5    22.4708
1900  10   7   2415299.5    22.4708
1900  10   8   2415300.5    22.4709
1900  10   9   2415301.5    22.4709
1900  10  10   2415302.5    22.4709
1900  10  11   2415303.5    22.4710
1900  10  12   2415304.5    22.4710
1900  10  13   2415305.5    22.4711
1900  10  14   2415306.5    22.4711
1900  10  15   2415307.5    22.4711
1900  10  16   2415308.5    22.4712
1900  10  17   2415309.5    22.4712
1900  10  18   2415310.5    22.4713
1900  10  19   2415311.5    22.4713
1900  10  20   2415312.5    22.4713
1900  10  21   2415313.5    22.4714
1900  10  22   2415314.5    22.4714
1900  10  23   2415315.5    22.4714
1900  10  24   2415316.5    22.4715
1900  10  25   2415317.5    22.4715
1900  10  26   2415318.5    22.4716
1900  10  27   2415319.5    22.4716
1900  10  28   2415320.5    22.4716
1900  10  29   2415321.5    22.4717
1900  10  30   2415322.5    22.4717
1900  10  31   2415323.5    22.4717
1900  11   1   2415324.5    22.4718
1900  11   2   2415325.5    22.4718
1900  11   3   2415326.5    22.4719
1900  11   4   2415327.5    22.4719
1900  11   5   2415328.5    22.4719
1900  11   6   2415329.5    22.4720
1900  11   7   2415330.5    22.4720
1900  11   8   2415331.5    22.4721
1900  11   9   2415332.5    22.4721
1900  11  10   2415333.5    22.4721
1900  11  11   2415334.5    22.4722
1900  11  12   2415335.5    22.4722
1900  11  13   2415336.5    22.4722
1900  11  14   2415337.5    22.4723
1900  11  15   2415338.5    22.4723
1900  11  16   2415339.5    22.4724
1900  11  17   2415340.5    22.4724
1900  11  18   2415341.5    22.4724
1900  11  19   2415342.5    22.4725
1900  11  20   2415343.5    22.4725
1900  11  21   2415344.5    22.4726
1900  11  22   2415345.5    22.4726
1900  11  23   2415346.5    22.4726
1900  11  24   2415347.5    22.4727
1900  11  25   2415348.5    22.4727
1900  11  26   2415349.5    22.4727
1900  11  27   2415350.5    22.4728
1900  11  28   2415351.5    22.4728
1900  11  29   2415352.5    22.4729
1900  11  30   2415353.5    22.4729
1900  12   1   2415354.5    22.4729
1900  12   2   2415355.5    22.4730
1900  12   3   2415356.5    22.4730
1900  12   4   2415357.5    22.4730
1900  12   5   2415358.5    22.4731
1900  12   6   2415359.5    22.4731
1900  12   7   2415360.5    22.4732
1900  12   8   2415361.5    22.4732
1900  12   9   2415362.5    22.4732
1900  12  10   2415363.5    22.4733
1900  12  11   2415364.5    22.4733
1900  12  12   2415365.5    22.4734
1900  12  13   2415366.5    22.4734
1900  12  14   2415367.5    22.4734
1900  12  15   2415368.5    22.4735
1900  12  16   2415369.5    22.4735
1900  12  17   2415370.5    22.4735
1900  12  18   2415371.5    22.4736
1900  12  19   2415372.5    22.4736
1900  12  20   2415373.5    22.4737
1900  12  21   2415374.5    22.4737
1900  12  22   2415375.5    22.4737
1900  12  23   2415376.5    22.4738
1900  12  24   2415377.5    22.4738
1900  12  25   2415378.5    22.4739
1900  12  26   2415379.5    22.4739
1900  12  27   2415380.5    22.4739
1900  12  28   2415381.5    22.4740
1900  12  29   2415382.5    22.4740
1900  12  30   2415383.5    22.4740
1900  12  31   2415384.5    22.4741
1901   1   1   2415385.5    22.4741
1901   1   2   2415386.5    22.4742
1901   1   3   2415387.5    22.4742
1901   1   4   2415388.5    22.4742
1901   1   5   2415389.5    22.4743
1901   1   6   2415390.5    22.4743
1901   1   7   2415391.5    22.4743
1901   1   8   2415392.5    22.4744
1901   1   9   2415393.5    22.4744
1901   1  10   2415394.5    22.4745
1901   1  11   2415395.5    22.4745
1901   1  12   2415396.5    22.4745
1901   1  13   2415397.5    22.4746
1901   1  14   2415398.5    22.4746
1901   1  15   2415399.5    22.4747
1901   1  16   2415400.5    22.4747
1901   1  17   2415401.5    22.4747
1901   1  18   2415402.5    22.4748
1901   1  19   2415403.5    22.4748
1901   1  20   2415404.5    22.4748
1901   1  21   2415405.5    22.4749
1901   1  22   2415406.5    22.4749
1901   1  23   2415407.5    22.4750
1901   1  24   2415408.5    22.4750
1901   1  25   2415409.5    22.4750
1901   1  26   2415410.5    22.4751
1901   1  27   2415411.5    22.4751
1901   1  28   2415412.5    22.4752
1901   1  29   2415413.5    22.4752
1901   1  30   2415414.5    22.4752
1901   1  31   2415415.5    22.4753
1901   2   1   2415416.5    22.4753
1901   2   2   2415417.5    22.4753
1901   2   3   2415418.5    22.4754
1901   2   4   2415419.5    22.4754
1901   2   5   2415420.5    22.4755
1901   2   6   2415421.5    22.4755
1901   2   7   2415422.5    22.4755
1901   2   8   2415423.5    22.4756
1901   2   9   2415424.5    22.4756
1901   2  10   2415425.5    22.4756
1901   2  11   2415426.5    22.4757
1901   2  12   2415427.5    22.4757
1901   2  13   2415428.5    22.4758
1901   2  14   2415429.5    22.4758
1901   2  15   2415430.5    22.4758
1901   2  16   2415431.5    22.4759
1901   2  17   2415432.5    22.4759
1901   2  18   2415433.5    22.4760
1901   2  19   2415434.5    22.4760
1901   2  20   2415435.5    22.4760
1901   2  21   2415436.5    22.4761
1901   2  22   2415437.5    22.4761
1901   2  23   2415438.5    22.4761
1901   2  24   2415439.5    22.4762
1901   2  25   2415440.5    22.4762
1901   2  26   2415441.5    22.4763
1901   2  27   2415442.5    22.4763
1901   2  28   2415443.5    22.4763
1901   3   1   2415444.5    22.4764
1901   3   2   2415445.5    22.4764
1901   3   3   2415446.5    22.4764
1901   3   4   2415447.5    22.4765
1901   3   5   2415448.5    22.4765
1901   3   6   2415449.5    22.4766
1901   3   7   2415450.5    22.4766
1901   3   8   2415451.5    22.4766
1901   3   9   2415452.5    22.4767
1901   3  10   2415453.5    22.4767
1901   3  11   2415454.5    22.4768
1901   3  12   2415455.5    22.4768
1901   3  13   2415456.5    22.4768
1901   3  14   2415457.5    22.4769
1901   3  15   2415458.5    22.4769
1901   3  16   2415459.5    22.4769
1901   3  17   2415460.5    22.4770
1901   3  18   2415461.5    22.4770
1901   3  19   2415462.5    22.4771
1901   3  20   2415463.5    22.4771
1901   3  21   2415464.5    22.4771
1901   3  22   2415465.5    22.4772
1901   3  23   2415466.5    22.4772
